,Number,Time,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Eleven,Twelve
252,253,71秒,1,1,吉他,0,动物,生活,1,悠闲、创意,2,0,0,睁开眼睛
253,254,61秒,1,0,竹笛,1,0,0,0,0,2,0,1,摄影摄像
254,255,87秒,1,1,吉他，钢琴,0,建筑，眼睛,所有,1,0,2,0,1,建筑速写，文学创作，艺术展，旅游
255,256,89秒,1,0,吉他,0,0,0,1,画家,2,0,0,唱歌、剪辑
256,257,334秒,1,1,尤克里里,1,0,舞蹈歌唱尤克里里吉他拇指琴,1,舞蹈老师,2,0,0,街舞健身
257,258,170秒,1,1,钢琴,1,0,唱歌类,1,岛上种花 逃离焦虑快生活,2,0,0,好像无
258,259,107秒,1,1,钢琴,0,村子,0,1,大橱窗，小木屋，灵感与知识迸发,2,0,0,随便画个画什么的
259,260,59秒,0,0,0,0,0,0,0,0,2,0,1,电子游戏
260,261,106秒,1,1,拇指琴,0,Idol的肖像,音乐   舞蹈,1,唱跳歌手,2,0,0,听音乐、看电影
261,262,87秒,1,1,吉他,1,0,演唱会,1,0,1,0,1,听歌，听音乐
262,263,161秒,1,0,架子鼓,0,人,摄影,0,卖唱,5,0,0,看别人摄影 听别人拉二胡
263,264,254秒,1,1,吉他,0,临摹一幅喜欢的作品,书法、画展,1,只要不愁没钱花就行,2,0,0,经常看电影，偶尔练书法，对画展有兴趣
264,265,62秒,1,1,钢琴,1,爱豆,演唱会,1,0,1,0,0,听歌唱歌
265,266,163秒,1,0,0,1,画我喜欢的花，人,能够直接感知的，尤其是听觉的,1,作家或者是画家,2,0,0,自己一个人听歌，随意画画
266,267,74秒,1,1,吉他,0,黑暗世界中的光,游戏创作,1,是的,1,0,1,玩游戏，音乐，看pixiv
267,268,124秒,1,1,贝斯,1,雨,音乐剧 话剧etc,1,花滑,2,0,0,唱歌跳舞，去听音乐剧话剧
268,269,67秒,1,0,笛子,0,0,0,1,0,2,0,0,画画
269,270,62秒,1,0,0,0,姑娘,0,1,画家,1,0,1,口琴
270,271,66秒,1,1,吉他,0,0,音乐,1,0,2,0,1,弹吉他
271,272,102秒,1,0,钢琴,0,脑海里的某些记忆碎片,音乐,1,0,1,0,1,听歌
272,273,124秒,1,1,钢琴、小提琴,1,纸片人,音乐绘画雕刻摄影都挺好,1,0,1,0,0,画画
273,274,93秒,1,0,0,1,0,0,0,0,2,0,1,吟诗
274,275,157秒,1,1,笙,0,0,音乐会 交响独奏都可,1,0,1,0,1,练字，钢琴
275,276,61秒,1,0,吉他,0,0,0,1,0,2,0,0,k歌
276,277,135秒,1,1,吉他,1,0,演唱,0,0,2,0,1,无
277,278,92秒,1,1,0,0,所见之景,美术,1,0,1,0,1,画画
278,279,217秒,1,1,电子琴,0,0,和音乐有关的艺术活动,1,0,2,0,0,听歌，跳舞，哼歌，刷b站
279,280,64秒,1,1,钢琴,0,0,音乐,1,0,1,0,0,听歌
280,281,137秒,1,1,架子鼓,0,龙,唱歌,0,歌手,2,0,1,唱歌
281,282,73秒,1,1,尤克里里,0,人,歌剧,1,0,3,1,0,唱歌
282,283,51秒,0,0,0,0,0,0,0,0,1,0,1,看番剧
283,284,95秒,0,0,箫,0,地球,画画,0,画家,1,0,1,无
284,285,57秒,1,0,0,1,0,0,1,0,2,0,0,无
285,286,150秒,0,1,0,0,没想好 总之可以画,可以参与的,1,花艺师,5,0,0,看展，插花，摄影
286,287,107秒,1,0,架子鼓,1,大房子,0,1,0,2,0,0,无
287,288,32秒,0,0,0,1,0,0,0,0,2,0,0,无
288,289,56秒,1,0,钢琴,1,0,0,0,0,1,0,0,听歌
